iter	Passed	Remaining
689	7048	3166
690	7054	3154
691	7064	3144
692	7073	3133
693	7084	3123
694	7093	3112
695	7109	3105
696	7118	3094
697	7125	3082
698	7135	3072
699	7146	3062
700	7157	3052
701	7165	3041
702	7176	3031
703	7186	3021
704	7194	3010
705	7202	2999
706	7233	2997
707	7245	2988
708	7255	2977
709	7267	2968
710	7276	2957
711	7283	2946
712	7290	2934
713	7298	2923
714	7310	2913
715	7322	2904
716	7329	2893
717	7338	2882
718	7348	2871
719	7354	2860
720	7363	2849
721	7373	2839
722	7382	2828
723	7390	2817
724	7401	2807
725	7410	2796
726	7419	2786
727	7425	2774
728	7434	2763
729	7441	2752
730	7451	2742
731	7457	2730
732	7467	2720
733	7474	2708
734	7487	2699
735	7493	2687
736	7506	2678
737	7513	2667
738	7521	2656
739	7528	2645
740	7549	2638
741	7559	2628
742	7571	2618
743	7580	2608
744	7586	2596
745	7598	2587
746	7606	2576
747	7612	2564
748	7631	2557
749	7641	2547
750	7650	2536
751	7663	2527
752	7673	2517
753	7680	2505
754	7688	2494
755	7699	2484
756	7705	2473
757	7712	2462
758	7719	2451
759	7737	2443
760	7748	2433
761	7760	2423
762	7768	2413
763	7777	2402
764	7784	2391
765	7794	2381
766	7802	2370
767	7811	2359
768	7817	2348
769	7837	2341
770	7844	2329
771	7856	2320
772	7863	2309
773	7876	2299
774	7894	2291
775	7905	2281
776	7912	2270
777	7922	2260
778	7931	2250
779	7950	2242
780	7964	2233
781	7974	2223
782	7981	2212
783	7996	2203
784	8003	2192
785	8014	2182
786	8023	2171
787	8031	2160
788	8039	2149
789	8051	2140
790	8058	2129
791	8066	2118
792	8077	2108
793	8088	2098
794	8094	2087
795	8102	2076
796	8108	2065
797	8120	2055
798	8130	2045
799	8139	2034
800	8145	2023
801	8156	2013
802	8165	2003
803	8178	1993
804	8190	1984
805	8197	1973
806	8204	1962
807	8212	1951
808	8223	1941
809	8231	1930
810	8238	1919
811	8247	1909
812	8259	1899
813	8271	1890
814	8287	1881
815	8298	1871
816	8304	1860
817	8317	1850
818	8327	1840
819	8334	1829
820	8342	1818
821	8350	1808
822	8359	1797
823	8372	1788
824	8386	1778
825	8392	1767
826	8400	1757
827	8407	1746
828	8419	1736
829	8431	1726
830	8442	1716
831	8449	1706
832	8458	1695
833	8468	1685
834	8485	1676
835	8495	1666
836	8502	1655
837	8516	1646
838	8525	1635
839	8534	1625
840	8540	1614
841	8559	1606
842	8568	1595
843	8577	1585
844	8588	1575
845	8597	1565
846	8607	1554
847	8619	1544
848	8627	1534
849	8638	1524
850	8646	1513
851	8654	1503
852	8662	1492
853	8679	1483
854	8686	1473
855	8700	1463
856	8715	1454
857	8723	1443
858	8732	1433
859	8751	1424
